fips,date,count
30013,2020-10-14,374
30023,2021-03-29,7
30029,2021-03-30,93
30035,2020-10-22,6
30043,2021-03-29,7
30047,2021-03-30,41
30049,2021-03-30,100
30063,2021-03-30,295
30081,2021-06-14,58
30087,2021-03-29,17
30093,2021-03-29,89
30105,2021-03-29,28
30111,2021-03-30,495
31000,2021-04-12,4827
31055,2021-03-30,1205
31079,2021-06-14,242
31095,2020-05-19,10
31101,2021-06-14,12
31109,2021-03-30,539
31111,2021-03-30,132
31153,2021-03-30,106
32000,2021-01-24,11005
32003,2021-03-30,648
33000,2021-06-14,1913
33001,2020-12-08,65
33005,2021-03-30,52
34000,2021-06-14,7703
34001,2020-03-30,394
34003,2021-06-14,403
34005,2021-03-29,351
34007,2020-03-30,1011
34009,2021-06-14,196
34011,2021-03-30,293
34013,2020-06-30,1098
34015,2020-03-30,126
34017,2020-03-30,478
34019,2021-03-29,35
34021,2020-03-30,312
34023,2020-03-30,388
34025,2020-03-30,416
34027,2020-03-30,160
34029,2021-03-29,298
34031,2020-03-30,494
34033,2021-06-14,345
34035,2020-03-30,105
34037,2021-03-29,52
34039,2020-03-30,280
34041,2020-03-30,83
35001,2020-12-06,1266
35009,2021-03-29,185
35015,2021-03-30,248
35025,2021-03-29,182
35029,2020-12-10,251
35043,2021-03-29,101
35045,2021-03-30,472
35047,2021-06-14,95
35051,2021-03-30,53
35053,2021-06-14,68
36000,2021-06-01,31890
36001,2021-05-31,393
36003,2021-05-31,63
36007,2021-05-31,403
36009,2021-05-31,98
36011,2021-05-31,157
36013,2021-06-14,145
36015,2021-05-31,124
36017,2021-05-31,72
36019,2021-05-31,139
36021,2021-05-31,35
36023,2021-05-31,49
36025,2021-05-31,35
36027,2021-05-31,177
36029,2021-05-31,692
36031,2021-05-31,52
36033,2021-05-31,45
36035,2021-05-31,72
36037,2021-05-31,48
36039,2021-05-31,0
36041,2021-05-31,4
36043,2021-05-31,41
36045,2021-05-31,137
36049,2021-05-31,21
36051,2021-05-31,112
36053,2021-05-31,66
36055,2021-05-31,778
36057,2021-05-31,76
36059,2021-05-31,765
36061,2021-06-14,5791
36063,2021-05-31,343
36065,2021-05-31,312
36067,2021-05-31,608
36069,2021-05-31,82
36071,2021-05-31,419
36073,2021-05-31,29
36075,2021-05-31,113
36077,2021-05-31,25
36079,2021-05-31,55
36083,2021-05-31,189
36087,2021-05-31,92
36089,2021-05-31,113
36091,2021-05-31,166
36093,2021-05-31,154
36095,2021-05-31,9
36097,2021-05-31,11
36099,2021-05-31,47
36101,2021-05-31,143
36103,2021-05-31,799
36105,2021-05-31,98
36107,2021-05-31,69
36109,2021-05-31,34
36111,2021-05-31,198
36113,2021-05-31,82
36115,2021-05-31,68
36117,2021-05-31,54
36119,2021-06-14,451
36121,2020-10-31,30
36123,2020-10-31,30
37000,2020-12-30,30101
37001,2021-06-14,228
37003,2021-03-30,72
37007,2021-04-30,41
37021,2021-01-14,375
37023,2021-03-29,119
37025,2021-06-14,0
37027,2020-06-16,69
37031,2021-06-14,136
37035,2021-03-30,221
37039,2021-06-14,104
37045,2021-06-14,267
37049,2020-02-17,339
37057,2021-03-30,238
37063,2021-03-30,339
37067,2021-06-14,585
37071,2021-03-29,514
37081,2021-03-30,709
37085,2021-03-30,230
37089,2020-09-24,132
37101,2021-03-30,287
37105,2021-06-14,123
37109,2021-03-30,107
37119,2021-06-14,1484
37125,2021-03-30,142
37129,2021-06-14,404
37135,2021-03-09,45
37141,2021-06-14,82
37147,2020-06-24,263
37151,2021-03-30,184
37153,2021-03-29,79
37159,2021-06-14,309
37163,2021-03-29,149
37167,2021-03-29,131
37175,2021-06-14,43
37183,2021-06-14,1154
38003,2021-03-30,4
38015,2021-06-14,253
38017,2021-03-29,283
38071,2021-03-30,76
38089,2021-03-29,61
38093,2021-03-30,41
38101,2021-02-03,136
38105,2021-06-14,73
39000,2021-06-14,43357
39001,2021-06-14,49
39009,2021-06-14,219
39013,2021-03-29,165
39025,2021-03-30,330
39027,2021-03-29,43
39031,2021-03-30,53
39041,2021-03-30,152
39043,2021-03-09,86
39049,2021-03-30,1714
39053,2021-03-29,53
39059,2021-03-30,93
39061,2021-03-30,1373
39077,2021-03-29,105
39083,2020-09-02,75
39089,2021-03-29,232
39107,2021-03-30,53
39117,2021-03-29,61
39121,2021-03-29,16
39123,2021-03-30,58
39129,2021-03-29,87
39143,2021-03-29,95
39153,2021-03-29,515
39157,2021-03-30,97
39167,2021-03-30,87
39171,2021-03-29,542
39173,2021-03-30,138
40000,2020-07-27,26672
40005,2021-03-30,60
40017,2021-06-14,2
40023,2020-08-20,30
40031,2021-03-29,346
40037,2021-01-21,232
40049,2021-03-30,62
40051,2020-09-13,160
40087,2021-03-29,71
40097,2021-06-14,74
40109,2021-01-05,1784
40111,2021-03-29,122
40113,2021-03-30,84
40117,2020-08-20,22
40125,2021-03-30,223
40131,2021-02-16,0
40143,2021-01-11,1246
40145,2020-12-07,106
41000,2021-06-01,12098
41001,2021-03-29,16
41003,2021-03-29,52
41005,2021-03-30,219
41007,2021-03-30,51
41009,2021-03-29,110
41011,2021-03-29,36
41013,2021-06-14,38
41015,2021-01-12,31
41017,2021-06-14,161
41019,2021-06-14,171
41025,2021-03-29,10
41029,2021-03-30,253
41031,2021-04-30,64
41033,2021-06-14,178
41035,2021-03-30,106
41041,2021-03-29,101
41043,2020-07-21,126
41047,2021-03-30,288
41051,2021-03-29,759
41057,2020-12-07,28
41059,2021-03-30,141
41061,2021-01-14,0
41065,2021-06-14,78
41067,2021-03-29,496
41071,2021-03-29,85
42000,2021-06-14,37327
42001,2020-03-11,151
42003,2020-10-28,1791
42005,2020-10-29,168
42007,2020-10-28,186
42009,2020-10-29,122
42011,2020-06-09,573
42013,2020-10-30,283
42015,2020-10-28,139
42017,2020-04-08,734
42019,2020-10-30,225
42021,2020-10-30,275
42023,2020-10-30,10
42025,2020-10-28,190
42027,2020-06-08,128
42029,2020-02-28,746
42031,2020-10-28,71
42033,2020-10-28,169
42035,2020-10-30,168
42037,2020-06-08,93
42039,2021-03-30,157
42041,2021-03-29,257
42043,2021-06-14,991
42045,2020-03-25,1387
42047,2020-11-02,73
